##NAMES=Wagnerite
##RRUFFID=R050519
##IDEAL CHEMISTRY=Mg_2_PO_4_F
##LOCALITY=Kjorrestad, near Bamle, Norway
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Pale yellow lamellar fragments, associated with isokite, R070526.
##DIFFRACTION SAMPLE DESCRIPTION=Single crystal, powder profile is calculated
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R050519
##MEASURED CHEMISTRY=Mg_2.00_(P_1.00_O_4_)(F_0.80_(OH)_0.20_)_Σ=1_ ; = gray phase, and the light phase is isokite: Ca_1.00_Mg_1.00_(P_1.00_O_4_)(F_0.80_(OH)_0.20_)_Σ=1_
##CELL PARAMETERS=a: 9.631(1) b: 12.667(2) c: 11.922(1) alpha: 90 beta: 108.270(6) gamma: 90 volume: 1381.2(3) crystal system: monoclinic
19.530, 0.001
19.540, 0.000
19.550, 0.000
19.560, 0.000
19.570, 0.000
19.580, 0.000
19.590, 0.000
19.600, 0.000
19.610, 0.000
19.620, 0.000
19.630, 0.000
19.640, 0.000
19.650, 0.000
19.660, 0.000
19.670, 0.000
19.680, 0.001
19.690, 0.002
19.700, 0.004
19.710, 0.008
19.720, 0.014
19.730, 0.020
19.740, 0.027
19.750, 0.033
19.760, 0.035
19.770, 0.035
19.780, 0.033
19.790, 0.030
19.800, 0.026
19.810, 0.021
19.820, 0.017
19.830, 0.013
19.840, 0.008
19.850, 0.005
19.860, 0.003
19.870, 0.001
19.880, 0.001
19.890, 0.001
19.900, 0.001
19.910, 0.003
19.920, 0.004
19.930, 0.007
19.940, 0.009
19.950, 0.011
19.960, 0.012
19.970, 0.012
19.980, 0.011
19.990, 0.010
20.000, 0.009
20.010, 0.007
20.020, 0.006
20.030, 0.004
20.040, 0.003
20.050, 0.002
20.060, 0.001
20.070, 0.001
20.080, 0.000
20.090, 0.000
20.100, 0.000
20.110, 0.000
20.120, 0.000
20.130, 0.000
20.140, 0.000
20.150, 0.000
20.160, 0.000
20.170, 0.000
20.180, 0.000
20.190, 0.000
20.200, 0.000
20.210, 0.000
20.220, 0.000
20.230, 0.000
20.240, 0.000
20.250, 0.000
20.260, 0.000
20.270, 0.000
20.280, 0.000
20.290, 0.000
20.300, 0.000
20.310, 0.000
20.320, 0.000
20.330, 0.000
20.340, 0.000
20.350, 0.000
20.360, 0.000
20.370, 0.000
20.380, 0.000
20.390, 0.000
20.400, 0.000
20.410, 0.000
20.420, 0.000
20.430, 0.000
20.440, 0.000
20.450, 0.000
20.460, 0.000
20.470, 0.000
20.480, 0.000
20.490, 0.000
20.500, 0.000
20.510, 0.001
20.520, 0.003
20.530, 0.007
20.540, 0.017
20.550, 0.038
20.560, 0.074
20.570, 0.127
20.580, 0.194
20.590, 0.264
20.600, 0.322
20.610, 0.355
20.620, 0.359
20.630, 0.340
20.640, 0.314
20.650, 0.295
20.660, 0.302
20.670, 0.360
20.680, 0.501
20.690, 0.755
20.700, 1.127
20.710, 1.574
20.720, 2.003
20.730, 2.312
20.740, 2.433
20.750, 2.369
20.760, 2.181
20.770, 1.939
20.780, 1.685
20.790, 1.422
20.800, 1.142
20.810, 0.854
20.820, 0.583
20.830, 0.359
20.840, 0.199
20.850, 0.102
20.860, 0.058
20.870, 0.067
20.880, 0.148
20.890, 0.357
20.900, 0.785
20.910, 1.537
20.920, 2.673
20.930, 4.129
20.940, 5.684
20.950, 7.002
20.960, 7.784
20.970, 7.913
20.980, 7.503
20.990, 6.793
21.000, 5.989
21.010, 5.167
21.020, 4.306
21.030, 3.388
21.040, 2.462
21.050, 1.625
21.060, 0.964
21.070, 0.511
21.080, 0.241
21.090, 0.101
21.100, 0.038
21.110, 0.012
21.120, 0.004
21.130, 0.001
21.140, 0.000
21.150, 0.000
21.160, 0.000
21.170, 0.000
21.180, 0.000
21.190, 0.000
21.200, 0.000
21.210, 0.000
21.220, 0.000
21.230, 0.000
21.240, 0.000
21.250, 0.000
21.260, 0.000
21.270, 0.000
21.280, 0.000
21.290, 0.000
21.300, 0.000
21.310, 0.000
21.320, 0.000
21.330, 0.000
21.340, 0.000
21.350, 0.000
21.360, 0.000
21.370, 0.000
21.380, 0.000
21.390, 0.000
21.400, 0.000
21.410, 0.000
21.420, 0.000
21.430, 0.000
21.440, 0.000
21.450, 0.000
21.460, 0.000
21.470, 0.000
21.480, 0.000
21.490, 0.000
21.500, 0.000
21.510, 0.000
21.520, 0.000
21.530, 0.000
21.540, 0.000
21.550, 0.000
21.560, 0.000
21.570, 0.000
21.580, 0.000
21.590, 0.000
21.600, 0.000
21.610, 0.000
21.620, 0.000
21.630, 0.000
21.640, 0.000
21.650, 0.000
21.660, 0.000
21.670, 0.000
21.680, 0.000
21.690, 0.000
21.700, 0.000
21.710, 0.000
21.720, 0.000
21.730, 0.000
21.740, 0.000
21.750, 0.000
21.760, 0.000
21.770, 0.000
21.780, 0.000
21.790, 0.000
21.800, 0.001
21.810, 0.002
21.820, 0.005
21.830, 0.012
21.840, 0.025
21.850, 0.047
21.860, 0.079
21.870, 0.119
21.880, 0.159
21.890, 0.190
21.900, 0.208
21.910, 0.213
21.920, 0.211
21.930, 0.213
21.940, 0.226
21.950, 0.250
21.960, 0.277
21.970, 0.298
21.980, 0.302
21.990, 0.288
22.000, 0.261
22.010, 0.228
22.020, 0.197
22.030, 0.170
22.040, 0.145
22.050, 0.118
22.060, 0.091
22.070, 0.063
22.080, 0.040
22.090, 0.023
22.100, 0.011
22.110, 0.005
22.120, 0.002
22.130, 0.001
22.140, 0.000
22.150, 0.000
22.160, 0.000
22.170, 0.000
22.180, 0.000
22.190, 0.000
22.200, 0.000
22.210, 0.000
22.220, 0.000
22.230, 0.000
22.240, 0.000
22.250, 0.000
22.260, 0.000
22.270, 0.000
22.280, 0.000
22.290, 0.000
22.300, 0.000
22.310, 0.000
22.320, 0.000
22.330, 0.001
22.340, 0.002
22.350, 0.005
22.360, 0.011
22.370, 0.024
22.380, 0.045
22.390, 0.076
22.400, 0.113
22.410, 0.150
22.420, 0.179
22.430, 0.193
22.440, 0.191
22.450, 0.178
22.460, 0.159
22.470, 0.141
22.480, 0.124
22.490, 0.106
22.500, 0.085
22.510, 0.064
22.520, 0.043
22.530, 0.026
22.540, 0.014
22.550, 0.007
22.560, 0.003
22.570, 0.001
22.580, 0.000
22.590, 0.000
22.600, 0.000
22.610, 0.000
22.620, 0.000
22.630, 0.000
22.640, 0.000
22.650, 0.000
22.660, 0.000
22.670, 0.000
22.680, 0.000
22.690, 0.000
22.700, 0.000
22.710, 0.000
22.720, 0.000
22.730, 0.000
22.740, 0.000
22.750, 0.000
22.760, 0.000
22.770, 0.000
22.780, 0.000
22.790, 0.000
22.800, 0.000
22.810, 0.000
22.820, 0.000
22.830, 0.000
22.840, 0.000
22.850, 0.000
22.860, 0.000
22.870, 0.000
22.880, 0.000
22.890, 0.000
22.900, 0.000
22.910, 0.000
22.920, 0.000
22.930, 0.000
22.940, 0.000
22.950, 0.000
22.960, 0.000
22.970, 0.000
22.980, 0.000
22.990, 0.000
23.000, 0.000
23.010, 0.000
23.020, 0.000
23.030, 0.000
23.040, 0.000
23.050, 0.000
23.060, 0.000
23.070, 0.000
23.080, 0.001
23.090, 0.003
23.100, 0.006
23.110, 0.014
23.120, 0.030
23.130, 0.065
23.140, 0.142
23.150, 0.304
23.160, 0.615
23.170, 1.149
23.180, 1.947
23.190, 2.967
23.200, 4.055
23.210, 4.973
23.220, 5.506
23.230, 5.566
23.240, 5.241
23.250, 4.727
23.260, 4.200
23.270, 3.726
23.280, 3.266
23.290, 2.753
23.300, 2.167
23.310, 1.561
23.320, 1.015
23.330, 0.591
23.340, 0.307
23.350, 0.142
23.360, 0.059
23.370, 0.022
23.380, 0.009
23.390, 0.008
23.400, 0.012
23.410, 0.020
23.420, 0.033
23.430, 0.049
23.440, 0.065
23.450, 0.080
23.460, 0.091
23.470, 0.098
23.480, 0.100
23.490, 0.099
23.500, 0.095
23.510, 0.087
23.520, 0.077
23.530, 0.066
23.540, 0.055
23.550, 0.044
23.560, 0.034
23.570, 0.025
23.580, 0.017
23.590, 0.011
23.600, 0.006
23.610, 0.003
23.620, 0.002
23.630, 0.001
23.640, 0.000
23.650, 0.000
23.660, 0.000
23.670, 0.000
23.680, 0.000
23.690, 0.000
23.700, 0.000
23.710, 0.000
23.720, 0.000
23.730, 0.000
23.740, 0.000
23.750, 0.000
23.760, 0.000
23.770, 0.000
23.780, 0.000
23.790, 0.000
23.800, 0.000
23.810, 0.000
23.820, 0.000
23.830, 0.000
23.840, 0.000
23.850, 0.000
23.860, 0.000
23.870, 0.000
23.880, 0.000
23.890, 0.000
23.900, 0.000
23.910, 0.001
23.920, 0.001
23.930, 0.001
23.940, 0.002
23.950, 0.002
23.960, 0.002
23.970, 0.002
23.980, 0.002
23.990, 0.001
24.000, 0.001
24.010, 0.001
24.020, 0.001
24.030, 0.001
24.040, 0.001
24.050, 0.000
24.060, 0.000
24.070, 0.000
24.080, 0.001
24.090, 0.001
24.100, 0.002
24.110, 0.003
24.120, 0.005
24.130, 0.007
24.140, 0.009
24.150, 0.010
24.160, 0.010
24.170, 0.010
24.180, 0.009
24.190, 0.008
24.200, 0.007
24.210, 0.006
24.220, 0.005
24.230, 0.004
24.240, 0.003
24.250, 0.002
24.260, 0.001
24.270, 0.001
24.280, 0.000
24.290, 0.000
24.300, 0.000
24.310, 0.000
24.320, 0.000
24.330, 0.000
24.340, 0.000
24.350, 0.000
24.360, 0.000
24.370, 0.000
24.380, 0.000
24.390, 0.000
24.400, 0.000
24.410, 0.000
24.420, 0.001
24.430, 0.004
24.440, 0.012
24.450, 0.032
24.460, 0.076
24.470, 0.160
24.480, 0.299
24.490, 0.500
24.500, 0.745
24.510, 0.992
24.520, 1.186
24.530, 1.280
24.540, 1.265
24.550, 1.170
24.560, 1.044
24.570, 0.929
24.580, 0.835
24.590, 0.747
24.600, 0.644
24.610, 0.519
24.620, 0.383
24.630, 0.255
24.640, 0.152
24.650, 0.081
24.660, 0.039
24.670, 0.016
24.680, 0.006
24.690, 0.002
24.700, 0.001
24.710, 0.000
24.720, 0.000
24.730, 0.000
24.740, 0.000
24.750, 0.000
24.760, 0.000
24.770, 0.000
24.780, 0.000
24.790, 0.000
24.800, 0.000
24.810, 0.000
24.820, 0.000
24.830, 0.000
24.840, 0.000
24.850, 0.000
24.860, 0.000
24.870, 0.000
24.880, 0.000
24.890, 0.000
24.900, 0.000
24.910, 0.000
24.920, 0.000
24.930, 0.000
24.940, 0.000
24.950, 0.000
24.960, 0.000
24.970, 0.000
24.980, 0.000
24.990, 0.000
25.000, 0.000
25.010, 0.000
25.020, 0.000
25.030, 0.000
25.040, 0.001
25.050, 0.004
25.060, 0.013
25.070, 0.038
25.080, 0.096
25.090, 0.218
25.100, 0.441
25.110, 0.795
25.120, 1.280
25.130, 1.841
25.140, 2.369
25.150, 2.740
25.160, 2.870
25.170, 2.765
25.180, 2.513
25.190, 2.229
25.200, 1.990
25.210, 1.803
25.220, 1.622
25.230, 1.399
25.240, 1.123
25.250, 0.822
25.260, 0.542
25.270, 0.321
25.280, 0.170
25.290, 0.080
25.300, 0.034
25.310, 0.013
25.320, 0.004
25.330, 0.002
25.340, 0.002
25.350, 0.004
25.360, 0.010
25.370, 0.023
25.380, 0.048
25.390, 0.091
25.400, 0.152
25.410, 0.227
25.420, 0.304
25.430, 0.365
25.440, 0.395
25.450, 0.391
25.460, 0.361
25.470, 0.321
25.480, 0.285
25.490, 0.258
25.500, 0.234
25.510, 0.208
25.520, 0.173
25.530, 0.132
25.540, 0.092
25.550, 0.057
25.560, 0.032
25.570, 0.016
25.580, 0.007
25.590, 0.003
25.600, 0.001
25.610, 0.000
25.620, 0.000
25.630, 0.000
25.640, 0.000
25.650, 0.000
25.660, 0.000
25.670, 0.000
25.680, 0.000
25.690, 0.000
25.700, 0.000
25.710, 0.000
25.720, 0.000
25.730, 0.000
25.740, 0.000
25.750, 0.000
25.760, 0.000
25.770, 0.000
25.780, 0.000
25.790, 0.000
25.800, 0.000
25.810, 0.000
25.820, 0.000
25.830, 0.000
25.840, 0.000
25.850, 0.000
25.860, 0.000
25.870, 0.000
25.880, 0.000
25.890, 0.000
25.900, 0.000
25.910, 0.000
25.920, 0.000
25.930, 0.000
25.940, 0.000
25.950, 0.000
25.960, 0.000
25.970, 0.000
25.980, 0.000
25.990, 0.000
26.000, 0.000
26.010, 0.000
26.020, 0.000
26.030, 0.000
26.040, 0.000
26.050, 0.000
26.060, 0.000
26.070, 0.000
26.080, 0.000
26.090, 0.000
26.100, 0.000
26.110, 0.000
26.120, 0.000
26.130, 0.000
26.140, 0.000
26.150, 0.000
26.160, 0.002
26.170, 0.005
26.180, 0.012
26.190, 0.029
26.200, 0.063
26.210, 0.122
26.220, 0.214
26.230, 0.338
26.240, 0.480
26.250, 0.616
26.260, 0.714
26.270, 0.756
26.280, 0.744
26.290, 0.703
26.300, 0.666
26.310, 0.652
26.320, 0.661
26.330, 0.669
26.340, 0.651
26.350, 0.593
26.360, 0.502
26.370, 0.399
26.380, 0.308
26.390, 0.241
26.400, 0.197
26.410, 0.167
26.420, 0.140
26.430, 0.112
26.440, 0.083
26.450, 0.056
26.460, 0.035
26.470, 0.021
26.480, 0.013
26.490, 0.009
26.500, 0.007
26.510, 0.006
26.520, 0.005
26.530, 0.004
26.540, 0.004
26.550, 0.003
26.560, 0.003
26.570, 0.003
26.580, 0.002
26.590, 0.002
26.600, 0.001
26.610, 0.001
26.620, 0.000
26.630, 0.000
26.640, 0.000
26.650, 0.000
26.660, 0.000
26.670, 0.000
26.680, 0.000
26.690, 0.000
26.700, 0.000
26.710, 0.000
26.720, 0.000
26.730, 0.000
26.740, 0.000
26.750, 0.000
26.760, 0.000
26.770, 0.000
26.780, 0.000
26.790, 0.000
26.800, 0.000
26.810, 0.000
26.820, 0.000
26.830, 0.000
26.840, 0.000
26.850, 0.000
26.860, 0.000
26.870, 0.000
26.880, 0.000
26.890, 0.000
26.900, 0.000
26.910, 0.000
26.920, 0.000
26.930, 0.000
26.940, 0.000
26.950, 0.001
26.960, 0.006
26.970, 0.022
26.980, 0.077
26.990, 0.245
27.000, 0.691
27.010, 1.744
27.020, 3.933
27.030, 7.932
27.040, 14.298
27.050, 23.050
27.060, 33.250
27.070, 42.983
27.080, 49.944
27.090, 52.491
27.100, 50.532
27.110, 45.605
27.120, 40.002
27.130, 35.502
27.140, 32.548
27.150, 30.336
27.160, 27.640
27.170, 23.712
27.180, 18.680
27.190, 13.329
27.200, 8.553
27.210, 4.920
27.220, 2.533
27.230, 1.166
27.240, 0.480
27.250, 0.177
27.260, 0.058
27.270, 0.017
27.280, 0.005
27.290, 0.001
27.300, 0.002
27.310, 0.005
27.320, 0.019
27.330, 0.058
27.340, 0.159
27.350, 0.395
27.360, 0.875
27.370, 1.734
27.380, 3.073
27.390, 4.871
27.400, 6.913
27.410, 8.797
27.420, 10.070
27.430, 10.439
27.440, 9.932
27.450, 8.889
27.460, 7.773
27.470, 6.917
27.480, 6.378
27.490, 5.973
27.500, 5.454
27.510, 4.677
27.520, 3.678
27.530, 2.618
27.540, 1.676
27.550, 0.962
27.560, 0.494
27.570, 0.227
27.580, 0.093
27.590, 0.034
27.600, 0.011
27.610, 0.003
27.620, 0.001
27.630, 0.000
27.640, 0.000
27.650, 0.000
27.660, 0.000
27.670, 0.000
27.680, 0.000
27.690, 0.000
27.700, 0.000
27.710, 0.000
27.720, 0.000
27.730, 0.000
27.740, 0.000
27.750, 0.000
27.760, 0.000
27.770, 0.000
27.780, 0.000
27.790, 0.000
27.800, 0.000
27.810, 0.000
27.820, 0.000
27.830, 0.000
27.840, 0.000
27.850, 0.000
27.860, 0.000
27.870, 0.000
27.880, 0.000
27.890, 0.000
27.900, 0.000
27.910, 0.000
27.920, 0.000
27.930, 0.000
27.940, 0.000
27.950, 0.000
27.960, 0.000
27.970, 0.000
27.980, 0.000
27.990, 0.000
28.000, 0.000
28.010, 0.001
28.020, 0.004
28.030, 0.010
28.040, 0.024
28.050, 0.049
28.060, 0.094
28.070, 0.161
28.080, 0.252
28.090, 0.359
28.100, 0.466
28.110, 0.552
28.120, 0.600
28.130, 0.601
28.140, 0.563
28.150, 0.505
28.160, 0.447
28.170, 0.401
28.180, 0.369
28.190, 0.341
28.200, 0.306
28.210, 0.260
28.220, 0.204
28.230, 0.146
28.240, 0.095
28.250, 0.056
28.260, 0.029
28.270, 0.014
28.280, 0.006
28.290, 0.002
28.300, 0.001
28.310, 0.000
28.320, 0.000
28.330, 0.000
28.340, 0.000
28.350, 0.000
28.360, 0.000
28.370, 0.000
28.380, 0.000
28.390, 0.000
28.400, 0.000
28.410, 0.000
28.420, 0.000
28.430, 0.001
28.440, 0.002
28.450, 0.004
28.460, 0.007
28.470, 0.012
28.480, 0.018
28.490, 0.034
28.500, 0.078
28.510, 0.211
28.520, 0.581
28.530, 1.494
28.540, 3.493
28.550, 7.346
28.560, 13.855
28.570, 23.420
28.580, 35.481
28.590, 48.211
28.600, 58.845
28.610, 64.754
28.620, 64.736
28.630, 59.728
28.640, 52.350
28.650, 45.508
28.660, 40.933
28.670, 38.532
28.680, 36.854
28.690, 34.231
28.700, 29.797
28.710, 23.820
28.720, 17.336
28.730, 11.472
28.740, 6.939
28.750, 3.897
28.760, 2.109
28.770, 1.186
28.780, 0.768
28.790, 0.592
28.800, 0.502
28.810, 0.423
28.820, 0.334
28.830, 0.240
28.840, 0.156
28.850, 0.091
28.860, 0.047
28.870, 0.022
28.880, 0.009
28.890, 0.003
28.900, 0.001
28.910, 0.000
28.920, 0.000
28.930, 0.000
28.940, 0.000
28.950, 0.000
28.960, 0.001
28.970, 0.003
28.980, 0.008
28.990, 0.020
29.000, 0.043
29.010, 0.085
29.020, 0.149
29.030, 0.235
29.040, 0.334
29.050, 0.428
29.060, 0.494
29.070, 0.518
29.080, 0.498
29.090, 0.448
29.100, 0.389
29.110, 0.342
29.120, 0.314
29.130, 0.298
29.140, 0.282
29.150, 0.256
29.160, 0.216
29.170, 0.167
29.180, 0.117
29.190, 0.075
29.200, 0.045
29.210, 0.027
29.220, 0.017
29.230, 0.012
29.240, 0.009
29.250, 0.008
29.260, 0.007
29.270, 0.007
29.280, 0.008
29.290, 0.013
29.300, 0.025
29.310, 0.049
29.320, 0.092
29.330, 0.158
29.340, 0.246
29.350, 0.345
29.360, 0.436
29.370, 0.496
29.380, 0.512
29.390, 0.484
29.400, 0.428
29.410, 0.370
29.420, 0.329
29.430, 0.310
29.440, 0.305
29.450, 0.301
29.460, 0.286
29.470, 0.253
29.480, 0.208
29.490, 0.158
29.500, 0.113
29.510, 0.077
29.520, 0.053
29.530, 0.039
29.540, 0.032
29.550, 0.029
29.560, 0.027
29.570, 0.024
29.580, 0.020
29.590, 0.016
29.600, 0.013
29.610, 0.014
29.620, 0.021
29.630, 0.034
29.640, 0.055
29.650, 0.082
29.660, 0.113
29.670, 0.144
29.680, 0.175
29.690, 0.209
29.700, 0.251
29.710, 0.306
29.720, 0.370
29.730, 0.430
29.740, 0.468
29.750, 0.473
29.760, 0.442
29.770, 0.388
29.780, 0.331
29.790, 0.286
29.800, 0.258
29.810, 0.241
29.820, 0.225
29.830, 0.202
29.840, 0.168
29.850, 0.128
29.860, 0.089
29.870, 0.057
29.880, 0.034
29.890, 0.020
29.900, 0.014
29.910, 0.022
29.920, 0.064
29.930, 0.204
29.940, 0.611
29.950, 1.648
29.960, 4.000
29.970, 8.712
29.980, 17.029
29.990, 29.870
30.000, 47.024
30.010, 66.469
30.020, 84.436
30.030, 96.599
30.040, 100.000
30.050, 94.641
30.060, 83.624
30.070, 71.609
30.080, 62.487
30.090, 57.643
30.100, 55.750
30.110, 54.024
30.120, 50.016
30.130, 42.865
30.140, 33.443
30.150, 23.565
30.160, 14.942
30.170, 8.513
30.180, 4.355
30.190, 2.001
30.200, 0.826
30.210, 0.306
30.220, 0.102
30.230, 0.031
30.240, 0.008
30.250, 0.002
30.260, 0.000
30.270, 0.000
30.280, 0.000
30.290, 0.000
30.300, 0.000
30.310, 0.000
30.320, 0.000
30.330, 0.000
30.340, 0.000
30.350, 0.000
30.360, 0.000
30.370, 0.000
30.380, 0.000
30.390, 0.000
30.400, 0.000
30.410, 0.000
30.420, 0.000
30.430, 0.000
30.440, 0.000
30.450, 0.000
30.460, 0.000
30.470, 0.000
30.480, 0.000
30.490, 0.000
30.500, 0.000
30.510, 0.000
30.520, 0.000
30.530, 0.000
30.540, 0.000
30.550, 0.000
30.560, 0.000
30.570, 0.000
30.580, 0.000
30.590, 0.000
30.600, 0.000
30.610, 0.001
30.620, 0.002
30.630, 0.006
30.640, 0.012
30.650, 0.022
30.660, 0.037
30.670, 0.057
30.680, 0.078
30.690, 0.095
30.700, 0.105
30.710, 0.106
30.720, 0.097
30.730, 0.084
30.740, 0.072
30.750, 0.063
30.760, 0.059
30.770, 0.058
30.780, 0.057
30.790, 0.052
30.800, 0.045
30.810, 0.035
30.820, 0.025
30.830, 0.017
30.840, 0.013
30.850, 0.012
30.860, 0.015
30.870, 0.021
30.880, 0.027
30.890, 0.032
30.900, 0.034
30.910, 0.034
30.920, 0.030
30.930, 0.026
30.940, 0.022
30.950, 0.020
30.960, 0.019
30.970, 0.019
30.980, 0.018
30.990, 0.016
31.000, 0.014
31.010, 0.010
31.020, 0.007
31.030, 0.004
31.040, 0.002
31.050, 0.001
31.060, 0.001
31.070, 0.000
31.080, 0.000
31.090, 0.000
31.100, 0.000
31.110, 0.000
31.120, 0.000
31.130, 0.000
31.140, 0.000
31.150, 0.000
31.160, 0.000
31.170, 0.000
31.180, 0.000
31.190, 0.000
31.200, 0.000
31.210, 0.000
31.220, 0.000
31.230, 0.000
31.240, 0.000
31.250, 0.000
31.260, 0.000
31.270, 0.001
31.280, 0.005
31.290, 0.019
31.300, 0.068
31.310, 0.218
31.320, 0.634
31.330, 1.656
31.340, 3.886
31.350, 8.196
31.360, 15.537
31.370, 26.474
31.380, 40.556
31.390, 55.878
31.400, 69.311
31.410, 77.568
31.420, 78.726
31.430, 73.288
31.440, 64.078
31.450, 54.896
31.460, 48.698
31.470, 46.333
31.480, 46.460
31.490, 46.576
31.500, 44.468
31.510, 39.282
31.520, 31.711
31.530, 23.370
31.540, 15.888
31.550, 10.230
31.560, 6.547
31.570, 4.428
31.580, 3.281
31.590, 2.623
31.600, 2.176
31.610, 1.838
31.620, 1.580
31.630, 1.389
31.640, 1.242
31.650, 1.120
31.660, 1.026
31.670, 0.979
31.680, 0.995
31.690, 1.067
31.700, 1.158
31.710, 1.214
31.720, 1.194
31.730, 1.089
31.740, 0.927
31.750, 0.758
31.760, 0.631
31.770, 0.589
31.780, 0.669
31.790, 0.937
31.800, 1.501
31.810, 2.506
31.820, 4.066
31.830, 6.166
31.840, 8.565
31.850, 10.801
31.860, 12.328
31.870, 12.753
31.880, 12.045
31.890, 10.567
31.900, 8.910
31.910, 7.617
31.920, 6.941
31.930, 6.782
31.940, 6.796
31.950, 6.606
31.960, 5.993
31.970, 4.974
31.980, 3.739
31.990, 2.536
32.000, 1.549
32.010, 0.852
32.020, 0.423
32.030, 0.192
32.040, 0.086
32.050, 0.051
32.060, 0.056
32.070, 0.090
32.080, 0.148
32.090, 0.225
32.100, 0.310
32.110, 0.385
32.120, 0.432
32.130, 0.440
32.140, 0.411
32.150, 0.360
32.160, 0.310
32.170, 0.279
32.180, 0.273
32.190, 0.287
32.200, 0.309
32.210, 0.328
32.220, 0.351
32.230, 0.405
32.240, 0.542
32.250, 0.830
32.260, 1.338
32.270, 2.104
32.280, 3.102
32.290, 4.215
32.300, 5.243
32.310, 5.957
32.320, 6.191
32.330, 5.918
32.340, 5.278
32.350, 4.515
32.360, 3.871
32.370, 3.482
32.380, 3.334
32.390, 3.299
32.400, 3.214
32.410, 2.968
32.420, 2.550
32.430, 2.057
32.440, 1.662
32.450, 1.590
32.460, 2.113
32.470, 3.530
32.480, 6.099
32.490, 9.891
32.500, 14.603
32.510, 19.474
32.520, 23.427
32.530, 25.462
32.540, 25.122
32.550, 22.756
32.560, 19.383
32.570, 16.225
32.580, 14.155
32.590, 13.369
32.600, 13.409
32.610, 13.490
32.620, 12.934
32.630, 11.461
32.640, 9.247
32.650, 6.748
32.660, 4.441
32.670, 2.633
32.680, 1.406
32.690, 0.676
32.700, 0.292
32.710, 0.114
32.720, 0.040
32.730, 0.013
32.740, 0.004
32.750, 0.001
32.760, 0.000
32.770, 0.000
32.780, 0.000
32.790, 0.000
32.800, 0.000
32.810, 0.000
32.820, 0.000
32.830, 0.000
32.840, 0.000
32.850, 0.000
32.860, 0.000
32.870, 0.000
32.880, 0.000
32.890, 0.000
32.900, 0.000
32.910, 0.000
32.920, 0.000
32.930, 0.000
32.940, 0.000
32.950, 0.000
32.960, 0.000
32.970, 0.001
32.980, 0.005
32.990, 0.018
33.000, 0.055
33.010, 0.158
33.020, 0.403
33.030, 0.929
33.040, 1.928
33.050, 3.605
33.060, 6.070
33.070, 9.208
33.080, 12.586
33.090, 15.511
33.100, 17.262
33.110, 17.413
33.120, 16.059
33.130, 13.801
33.140, 11.480
33.150, 9.795
33.160, 9.030
33.170, 8.989
33.180, 9.174
33.190, 9.056
33.200, 8.329
33.210, 7.003
33.220, 5.336
33.230, 3.672
33.240, 2.278
33.250, 1.273
33.260, 0.641
33.270, 0.291
33.280, 0.119
33.290, 0.044
33.300, 0.015
33.310, 0.004
33.320, 0.001
33.330, 0.000
33.340, 0.000
33.350, 0.001
33.360, 0.002
33.370, 0.005
33.380, 0.009
33.390, 0.015
33.400, 0.023
33.410, 0.031
33.420, 0.038
33.430, 0.042
33.440, 0.043
33.450, 0.039
33.460, 0.034
33.470, 0.028
33.480, 0.024
33.490, 0.022
33.500, 0.022
33.510, 0.022
33.520, 0.022
33.530, 0.021
33.540, 0.017
33.550, 0.013
33.560, 0.009
33.570, 0.006
33.580, 0.003
33.590, 0.002
33.600, 0.001
33.610, 0.000
33.620, 0.000
33.630, 0.000
33.640, 0.000
33.650, 0.000
33.660, 0.000
33.670, 0.000
33.680, 0.000
33.690, 0.000
33.700, 0.000
33.710, 0.000
33.720, 0.000
33.730, 0.000
33.740, 0.000
33.750, 0.000
33.760, 0.000
33.770, 0.000
33.780, 0.000
33.790, 0.000
33.800, 0.000
33.810, 0.000
33.820, 0.000
33.830, 0.001
33.840, 0.001
33.850, 0.001
33.860, 0.001
33.870, 0.001
33.880, 0.001
33.890, 0.001
33.900, 0.001
33.910, 0.000
33.920, 0.000
33.930, 0.000
33.940, 0.000
33.950, 0.000
33.960, 0.000
33.970, 0.000
33.980, 0.000
33.990, 0.000
34.000, 0.000
34.010, 0.000
34.020, 0.000
34.030, 0.000
34.040, 0.000
34.050, 0.000
34.060, 0.000
34.070, 0.000
34.080, 0.000
34.090, 0.000
34.100, 0.000
34.110, 0.000
34.120, 0.000
34.130, 0.000
34.140, 0.000
34.150, 0.000
34.160, 0.000
34.170, 0.000
34.180, 0.000
34.190, 0.000
34.200, 0.000
34.210, 0.000
34.220, 0.000
34.230, 0.000
34.240, 0.000
34.250, 0.000
34.260, 0.001
34.270, 0.002
34.280, 0.007
34.290, 0.021
34.300, 0.051
34.310, 0.116
34.320, 0.234
34.330, 0.427
34.340, 0.704
34.350, 1.047
34.360, 1.405
34.370, 1.703
34.380, 1.866
34.390, 1.855
34.400, 1.689
34.410, 1.434
34.420, 1.180
34.430, 1.001
34.440, 0.925
34.450, 0.932
34.460, 0.969
34.470, 0.977
34.480, 0.919
34.490, 0.793
34.500, 0.622
34.510, 0.442
34.520, 0.285
34.530, 0.167
34.540, 0.090
34.550, 0.044
34.560, 0.021
